,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MRPL24,98.5439553454036,3.83977935614264,0.489235775115712,7.84852529485292,4.209577276469711e-15,7.946509610631999e-13
FFAR2,49406.8215835467,1.59591186002408,0.204648966745077,7.79828936059102,6.2751988845236204e-15,1.16977551206126e-12
CNOT11,3655.41851927544,-1.37848187541386,0.177779275671125,-7.75389521759511,8.911586892941911e-15,1.64072216462275e-12
LINC00309,318.64802540663,2.09768107346068,0.276171869092566,7.59556387967086,3.0645500872593703e-14,5.57337017698767e-12
SSSCA1-AS1,102.931055061414,1.93220097954634,0.260798327397113,7.40879360243831,1.27453482660094e-13,2.2900166107349198e-11
ARL5B,11250.5583270816,2.22429794371798,0.304089420973204,7.31461797190894,2.5811465802855197e-13,4.5285457590350597e-11
GBP1,13018.7963839323,1.46762805019694,0.200821832329178,7.30811004548189,2.7092587844135996e-13,4.6440432473517293e-11
LOC731424,23763.158620493,2.09762166897102,0.286973337582915,7.30946535534843,2.6820739256478997e-13,4.6440432473517293e-11
RNF19B,29002.9127368249,1.07801931233055,0.14845271646662,7.26170148980028,3.82251055683942e-13,6.4778522652439e-11
LINC01602,149.751550448229,2.23945669595722,0.309290205210024,7.24063244885662,4.46597203844857e-13,7.4832630347622e-11
KMT2E-AS1,803.166944367119,0.993694138887301,0.138212470554066,7.18961273829911,6.49753502117225e-13,1.07664155300824e-10
CD274,994.839046016608,1.84401647615188,0.26120455592399,7.05966429118675,1.66905337368146e-12,2.7352299957924903e-10
DUSP1,85939.5252733491,1.18196380222561,0.167656010239566,7.04993397216531,1.79002710681226e-12,2.90159502650992e-10
LOC101929524,90.312535226531,2.28248812377389,0.325592647974073,7.01025695136593,2.3788084158637097e-12,3.81453439847049e-10
TRIP10,71.2478465309867,4.06946490654413,0.581058051908382,7.00354274960771,2.49569712698053e-12,3.95939694198518e-10
GBP1P1,390.249687571697,1.47643646116645,0.211023684897628,6.99654383290059,2.6235372025658698e-12,4.11840108440682e-10
KCNE1,515.980213933336,1.64883274389642,0.237981080590718,6.92841943487137,4.25568412764892e-12,6.61093931204462e-10
ASTL,196.166045301187,3.35806977058259,0.487875666170977,6.88304419225891,5.8586842216667096e-12,9.00727399976451e-10
LOC101928700,168.609684910039,2.37446292925734,0.346146488856335,6.85970537243508,6.90027121342584e-12,1.05003821026346e-09
NCR3LG1,498.075482602656,4.653215697826,0.679691063197136,6.84607456207849,7.590392805268879e-12,1.1433891707573202e-09
BCL2A1,55278.3402679963,1.73499542658418,0.254086760018545,6.82835826021612,8.58918731147123e-12,1.2809055037597e-09
